,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое мероприятие первыми в России провели красноярцы в 2002 году?,"""Ночь музеев""","""Утро библиотек""","""День стадионов""","""Вечер концертных залов"""
1,Как называется специалист по лечению и уходу за деревьями?,Арборист,Хэдхантер,Кавист,Постижер
2,Где побывал президент США Франклин Рузвельт?,Ялта,Пятигорск,Трускавец,Гагра
3,Кто из перечисленных спортсменок не является олимпийской чемпионкой?,Ирина Чащина,Алина Кабаева,Евгения Канаева,Светлана Хоркина
4,На гербе какого государства изображен шахматный орнамент из красно-белых клеток?,Хорватия,Норвегия,Нидерланды,Греция
5,"В какой цвет в целях маскировки были выкрашены некоторые самолеты ""Spitfire"", выполнявшие разведывательные полеты во время Второй мировой войны?",Розовый,Оранжевый,Голубой,Желтый
6,"Какой фильм завоевал впервые в истории ""Оскары"" во всех пяти самых престижных номинациях?","""Это случилось однажды ночью""","""Молчание ягнят""","""Пролетая над гнездом кукушки""","""Аватар"""
7,Оттенком какого цвета является чертополоховый цвет?,Сиренево-розового,Салатового,Фисташкового,Клюквенного
8,Какой тип галактик является промежуточным между спиральными и эллиптическими?,Линзовидные галактики,Галактики с перемычкой,Неправильные галактики,Карликовые галактики
9,Какой день в древнеримском календаре назывался бы Иды?,13 апреля,13 марта,13 июля,13 мая
