,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какое крупное произведение Максим Горький написал после успеха романа ""Мать""?","""Жизнь Матвея Кожемякина""","""Вечный муж""","""Отцы и дети""","""Мать-2"""
1,Как в уголовном праве квалифицируется открытое похищение имущества?,Грабеж,Бандитизм,Мошенничество,Воровство
2,Кто изобрел первый киноаппарат?,Братья Люмьеры,Братья Каширины,Братья Поповы,Братья Гримм
3,«Мы сыграли с Талем 10 партий». В какую игру не играл герой песни В. Высоцкого с Талем?,Домино,Бильярд,Очко,Преферанс
4,За какое произведение М.Шолохов получил Нобелевскую премию?,"""Тихий Дон""","""Судьба человека""","""Нахаленок""","""Поднятая целина"""
5,"Кто является автором опер ""Кавалер розы"" и ""Женщина без тени""?",Рихард Штраус,Джузеппе Верди,Никколо Паганини,Луиза Фарранк
6,Сколько нолей в записи одного квадриллиона в системе наименования чисел с короткой шкалой?,15,9,24,12
7,Когда закрывался храм Януса Двуликого?,Когда на суше и на море мир,Когда на суше война,Когда шла Первая Пуническая война,Когда шла Вторая Пуническая война
8,Какой великий испанский художник служил гофмейстером королевского двора?,Диего Веласкес,Франсиско Рибалта,Антонио Переда,Хусепе Рибера
9,Персонажем какого произведения была слесарша Февронья Петровна Пошлёпкина?,"""Ревизор"" Гоголя","""Женитьба"" Гоголя","""Свадьба"" Чехова","""Капитанская дочка"" Пушкина"
