,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что из перечисленного в сказке не было волшебным?,Красная шапочка,Шапка-невидимка,Ковер-самолет,Сапоги-скороходы
1,"Как называются оросительные каналы, образующие водную систему Бухары?",Арыки,Араки,Урюки,Ареки
2,В каком городе находится самое высокое искусственное сооружение на Земле?,Дубай,Токио,Гонконг,Торонто
3,Какая порода кошек ещё не выведена?,Бразильская карнавальная,Турецкая ангора,Уральский рекс,Курильский бобтейл
4,Каким было отчество императора Николая II?,Александрович,Николаевич,Петрович,Иванович
5,Какие птицы не подбрасывают яйца в чужие гнезда?,Сороки,Медоуказчики,Черноголовые утки,Вдовушки
6,Кто 22 июня 1941 года выступил по радио с заявлением о начале войны?,Молотов,Жданов,Сталин,Калинин
7,Какие из этих живых существ - ящерицы?,Василиски,Ехидны,Гарпии,Химеры
8,Какая актриса взяла в качестве актерского псевдонима девичью фамилию своей матери?,Катрин Денёв,Кароль Буке,Клаудия Кардинале,Софи Лорен
9,Какой маяк является самым высоким из традиционных маяков в мире?,"""Иль-Верж"" во Франции","""Ла Лантерна"" в Италии","""Осиновецкий"" в России","""Мулантоу"" в Китае"
