,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как назвался первый сборник рассказов Джека Лондона?,"""Сын волка""","""Внук опоссума""","""Дочь обезьяны""","""Братец кролика"""
1,Кто является режиссёром исторического фильма «Андрей Рублёв»?,Андрей Тарковский,Сергей Герасимов,Михаил Калатозов,Станислав Говорухин
2,При какой российской императрице А. Д. Меншиков стал фактическим правителем России? ,Екатерина I,Анна Иоанновна,Елизавета Петровна,Екатерина II
3,Сколько оборотов делает в воздухе фигурист при исполнении прыжка аксель?,Полтора,Два,Один,Три
4,Число 3 отражается в двоичном виде как:,11,01,101,10
5,Какому уравнению подчиняется реальный газ?,Ван-дер-Ваальса,Бойля - Мариотта,Менделеева - Клапейрона,Гей-Люссака
6,Какой город является столицей штата США Кентукки?,Франкфорт,Колумбус,Линкольн,Сент-Пол
7,"Кто является автором либретто «Свадьба Фигаро», «Дон Жуан» и «Так поступают все»?",Лоренцо да Понте,Пьетро Метастазио,Карло Капече,Франческо Пьяве
8,Кто из этих игроков забил четыре мяча в одной игре в Лиге чемпионов по футболу в гостевом матче?,Андрей Шевченко,Марко Ван Бастен,Лионель Месси,Руд ван Нистелрой
9,Какой баскетболист является самым низкорослым победителем конкурса НБА по броскам сверху (Слэм-Данк контест)?,Спад Уэбб,Блэйк Гриффин,Кэлвин Мёрфи,Маггси Боггс
