,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что, по мнению Н. Некрасова, ""у нас песней зовется""?",Стон,Крик,Вопль,Плач
1,Какое имя дали Каштанке в цирке?,Тётка,Пчёлка,Кнопка,Душка
2,В какой из этих столиц летние Олимпийские игры проводились позже остальных?,Атланта,Лос-Анджелес,Барселона,Сеул
3,"Декоративную разновидность какого дерева в Японии называют ""сакура""?",Вишня,Груша,Яблоня,Слива
4,От какой болезни страдали тысячи строителей Панамского канала?,Желтая лихорадка,Болезнь Лайма,Оспа,Грипп
5,"Какая из этих древнегреческих богинь не участвовала в споре за ""яблоко раздора""?",Артемида,Афина,Гера,Афродита
6,"Какого из этих Генрихов в народе называли ""Старый медный нос""?",VIII,VII,VI,V
7,Какой город региона Имеретия в западной Грузии с 1940 по 1990 годы носил имя В. В. Маяковского?,Багдати,Самтредиа,Ткибули,Чиатура
8,"Что означало у казаков ""дуван дуванить""?",Делить добычу,Пиршествовать,Собираться на войну,Выбирать атамана
9,"Какой баскетболист установил рекорд NBA, набрав 100 очков за одну игру?",Уилт Чемберлен,Мэджик Джонсон,Ларри Бёрд,Майкл Джордан
