,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Где родился последний маршал Советского Союза Д. Т. Язов?,В деревне Язово Омской области,В селе Ельцино Владимирской области,В городе Ленинске Волгоградской области,В посёлке Горбачёво Тульской области
1,Кто изобрел первое радио?,Попов,Бенцен,Ньютон,Белл
2,Кто из этих персонажей – не из «Мёртвых душ»?,Земляника,Коробочка,Ноздрёв,Манилов
3,Какой персонаж был гидом по русскому павильону на Экспо-2010 в Шанхае?,Незнайка,Колобок,Леший,Чебурашка
4,Кто занял пост президента ФИФА в 1998 году?,Йозеф Блаттер,Франц Беккенбауэр,Жоао Авеланж,Леннарт Юханссон
5,"Какой показатель является неизменным в автогонках, с 1923 года проходящих около французского города Ла-Ман?",время,расстояние,количество участников,скорость
6,"Какой поэт является автором строк: ""Коль простить, так всей душой, Коли пир, так пир горой!""?",А. Толстой,И. Барков,Н. Языков,Е. Баратынский
7,Челюстью какого животного Самсон убил тысячу филистимлян?,Осла,Быка,Верблюда,Лошади
8,В какой из этих стран не найдешь систему «Голубые горы»?,Мадагаскар,Австралия,Новая Зеландия,Ямайка
9,На основе какого произведения И. Тургенева написал оперу М. Ипполитов-Иванов?,«Ася»,«Первая любовь»,«Месяц в деревне»,«Дворянское гнездо»
