,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как звали невесту Эдмона Дантеса, будущего графа Монте-Кристо?",Мерседес,Хонда,Тойота,Лада
1,Каким прибором измеряют сопротивление проводника?,Омметр,Амперметр,Гигрометр,Вольтметр
2,"Какая из этих башен стоит на Соборной площади, которую часто называют Поле чудес?",Пизанская,Эйфелева,Девичья,Торонтская
3,Какой из этих футбольных клубов - голландский?,"""Фейеноорд""","""Атлетико""","""Реал""","""Андерлехт"""
4,В каком году Александр I утвердил конституцию Царства Польского?,1815,1814,1813,1816
5,Соломенное чучело какого животного сжигают под Новый Год в Швеции?,Козел,Бык,Конь,Осел
6,На флаге какой из этих стран находится трезубец?,Барбадос,Эквадор,Руанда,Гватемала
7,Кто был старшим тренером хоккейной сборной во время суперсерии СССР — Канада 1972 года?,Всеволод Бобров,Аркадий Чернышев,Борис Кулагин,Анатолий Тарасов
8,Где находится у птиц кость цевка?,В ноге,В позвоночнике,В крыле,В грудной клетке
9,В какое сверхскопление галактик входит Млечный Путь?,Сверхскопление Девы,Сверхскопление Феникса,Сверхскопление Скульптора,Сверхскопление Змееносца
