,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что получится, если собрать, согласно поговорке, с миру по нитке?",Голому — рубаха,Моднице — блуза,Гусару — рейтузы,Джигиту — папаха
1,Какая страна отделена от Испании Пиренейским хребтом?,Франция,Португалия,Великобритания,Италия
2,"Как называется наука, изучающая количественные и пространственные соотношения в действительном мире и человеческом воображении?",Математика,Философия,География,Биология
3,Какой композитор написал первую советскую рок-оперу «Орфей и Эвридика»?,Александр Журбин,Максим Дунаевский,Александр Зацепин,Алексей Рыбников
4,Кто из этих персонажей не из оперы Ш. Гуно?,Джильда,Мефистофель,Фауст,Маргарита
5,Берега какой из этих стран не омываются водами Карибского моря?,Багамские острова,Доминика,Доминиканская республика,Ямайка
6,Как называется самая высокая гора в системе Крымских гор?,Роман-Кош,Агармыш,Сапун-Гора,Чатыр-Даг
7,Какое настоящее имя Джорджа Сороса?,Жорджи Шварц,Шандор Мариашши,Миклош Салаши,Джордж Сорос
8,"Какая из этих специальных вилок имеет, как правило, пять зубцов, соединённых перемычкой?",Вилка для шпрот,Вилка для устриц,Вилка для фондю,Вилка кокотная
9,Как называется боязнь всего?,Панофобия,Тафофобия,Сомнифобия,Фагофобия
