,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что из перечисленного не является названием вина?,"""Церетели""","""Киндзмараули""","""Цинандали""","""Ркацители"""
1,Площадь поверхности какой планеты Солнечной системы приблизительно равна площади суши на Земле?,Марс,Юпитер,Сатурн,Уран
2,"Что ест жук-типограф, согласно его другому названию?",Кору,Ветки,Листья,Корни
3,Что появилось при царе Алексее Михайловиче и именовалось тогда «позорищем»?,театр,общественная баня,гауптвахта,статуя Аполлона
4,"Какая болезнь называется ""круп""?",ларинготрахеобронхит,муковисцидоз,целиакия,рахит
5,В какой области произошла Куликовская битва?,Тульской ,Московской ,Смоленской,Рязанской 
6,Какое из этих имён принадлежит мифологическому персонажу?,Аттис,Цезарь,Симонид,Гесиод
7,За какой клуб выступал известный форвард сборной СССР Анатолий Банишевский?,«Нефтчи»,«Арарат»,«Пахтакор»,«Кайрат»
8,Какая прозаическая комедия А. С. Грибоедова создана им в соавторстве с драматургом П. А. Катениным?,«Студент»,«Молодые супруги»,«Притворная неверность»,"«Своя семья, или Замужняя невеста»"
9,"Какой принцип вывел биолог Д. Даймонд, изучая одомашненных животных?",Анны Карениной,Татьяны Лариной,Наташи Ростовой,Сони Мармеладовой
