,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая группа живых организмов не использует генетический код?,Используют все,Бактерии,Вирусы,Вироиды
1,Кем по специальности был гоголевский Вакула?,Кузнец,Художник,Бондарь,Шорник
2,"Кто автор культового романа ""Пролетая над гнездом кукушки""?",К. Кизи,К. Абэ,Дж. Селинджер,Р. Бах
3,Какой жук считался в древнем Египте священным?,Скарабей,Могильщик,Сизиф,Носорог
4,Какое из этих названий по древнерусскому календарю обозначает август?,Зарев,Липец,Грозник,Червень
5,На флаге какого государства можно увидеть звездное небо?,Бразилия,Португалия,Таиланд,Египет
6,Кто из актёров признался: «Чужую жизнь играю как свою...»?,Валентин Гафт,Зиновий Гердт,Ролан Быков,Лев Дуров
7,Сколько золотых олимпийских медалей завоевала сборная команда России на Олимпиаде-2012?,24,46,38,29
8,"По какой причине в начале XVIII века избранные мэры города Филадельфия отказывались от должности, предпочитая заплатить штраф?",Мэру не полагалось жалование,Верили в проклятие индейцев,Все предыдущие мэры были убиты,Должность мэра совмещалась с должностью судьи
9,"Какая азбука используется в Японии для записи заимствованных слов, адаптированных под японскую фонетику?",Катакана,Кандзи,Хирагана,Ромадзи
