,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется совокупность данных, необходимых для проведения операций с банковским счётом?",Банковские реквизиты,Банковские атрибуты,Банковские аксессуары,Банковские причиндалы
1,Какую команду тренировал Олег Романцев?,Футбольную,Хоккейную,Знатоков,Баскетбольную
2,Как называется мыс в ЮАР?,Мыс Доброй Надежды,Мыс Горн,Мыс Байрон,Мыс Святой нос
3,"В каком году, согласно официальной версии, родился И. В. Сталин?",1879 ,1913,1855,1860
4,Сколько раз Лондон принимал у себя Олимпийские игры?,Три раза,Два раза,Четыре раза,Один раз
5,Какое из этих событий произошло раньше других?,Битва при Грюнвальде,Открытие Америки Колумбом,Создание «Давида» Микеланджело,Рождение Шекспира
6,"Где происходит действие романа Грэма Грина ""Ценой потери"" и повести Бориса Жилина ""Люди без колокольчиков""?",В лепрозории,В баскетбольном клубе,В ботаническом саду,В полиции
7,С какого дерева можно сорвать серебряный абрикос?,Гинкго,Манго,Лох,Давидсония
8,В каком древнем государстве употреблялось узелковое письмо кипу?,Инков,Майя,Ацтеков,Ольмеков
9,"Опубликование какого документа в 1917 году послужило толчком к массовой иммиграции евреев в Палестину, что впоследствии привело к созданию Государства Израиль?",Декларация Бальфура,Тамвортский манифест,Доклад Тейлора,Белая книга Пассфилда
