,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из перечисленных городов расположен не в Аргентине?,Рио-де-Жанейро,Кордова,Буэнос-Айрес,Росарио
1,Кто стал генсеком после Хрущёва?,Л. И. Брежнев,В. М. Молотов,Ю. В. Андропов,И. В. Сталин
2,Какой квартал есть в Париже?,Латинский,Греческий,Славянский,Кельтский
3,Какой минерал является основной составляющей частью известняка?,Кальцит,Селитра,Кварц,Лимонит
4,"Как заканчивается пословица: «Посеешь поступок — пожнешь привычку, посеешь привычку — пожнешь характер, посеешь характер — пожнешь...»?",Судьбу,Жену,Врагов,Чин
5,Кого в Англии называли «Глаза и уши короны»?,Мировых судей,Крестьян,Полицию,Короля
6,Какое событие произошло не в 1453 году?,В Генуэзской республике родился Христофор Колумб,Турки-османы захватили Константинополь,Состоялась последняя битва Столетней войны,На Руси завершилась война между внуками Дмитрия Донского
7,Как закончилась жизнь князя Долгорукова Василия Лукича?,Был обезглавлен в Новгороде,Умер на посту посла во Франции,"Убит бунтовщиками, будучи губернатором Сибири",Умер в заточении на Соловках
8,"О ком слова С. Цвейга: «Человек, который рассказывает о подвиге и поясняет его, может стать для потомков более значительным, чем тот, кто его совершил»?",Америго Веспуччи,Роберт Пири,Александр фон Гумбольдт,Марко Поло
9,Какая из фавел Рио-де-Жанейро — крупнейшая в Бразилии?,Росинья,Морру-да-Бабилония,Дона Марта,Видигал
