,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называлась метательная машина древности?,Катапульта,Ракетка,Плевалка,Металка
1,Какую из этих птиц охотники не используют как ловчую?,Гриф,Беркут,Ястреб,Сокол
2,"Какое слово пропущено в названии комедии с Луи де Фюнесом ""... господина Септима""?",Ресторан,Таверна,Столовая,Бистро
3,Какая из этих пряностей приготавливается из цветочных бутонов?,Гвоздика,Горчица,Корица,Тмин
4,В каком из этих российских городов нет метро?,Архангельск,Нижний Новгород,Екатеринбург,Новосибирск
5,Где обосновались госпитальеры в 1530 году?,Мальта,Родос,Сицилия,Кипр
6,Как в международной терминологии называется самый элегантный вид конного спорта «выездка»?,Дрессура,Рейнинг,Драйвинг,Вольтижировка
7,Кто из этих спортивных комментаторов играл на сцене МХАТа?,Озеров,Саркисьянц,Майоров,Маслаченко
8,"Как называется ботик Петра I, хранящийся сейчас в музее-усадьбе в с. Веськово близ г. Переславль-Залесский?","""Фортуна""","""Виктория""","""Св. Апостол Пётр""","""Святой Николай"""
9,Кто освободил Зевса от пут во время мятежа Олимпийских богов?,Бриарей,Геракл,Лаомедонт,Полифем
