,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется повесть Анатолия Рыбакова?,"""Бронзовая птица""","""Перелетные птицы""","""Золотая птица""","""Механическая птица"""
1,Какой цвет воздушного шарика не упоминается в стихотворении С. В. Михалкова «А что у вас?»?,Желтый,Синий-синий,Красный,Презеленый
2,Какую планету Солнечной системы нельзя увидеть невооруженным глазом?,Уран,Сатурн,Юпитер,Меркурий
3,Сколько фигур находятся на доске в начале игры в русские шашки?,24,16,18,32
4,Какой регион России имеет самые низкие показатели естественного прироста населения по данным за 2013 год?,Центральный округ,Республика Коми,Краснодарский край,Челябинская область
5,"Как называется отряд, к которому относятся жвачные животные?",Китопарнокопытные,Млекопитающие,Непарнокопытные,Полорогие
6,Кто был первым талисманом чемпионата мира по футболу?,Львёнок Вилли,Пёс Стайкер,Пастушок Гаучито,Петушок Футикс
7,"Кто был капитаном команды Уругвая, которая выиграла чемпионат мира по футболу в 1950 году?",Обдулио Варела,Хуан Скьяффино,Роке Масполи,Альсидес Гиджа
8,Для какой породы свиней характерна кудрявая шерсть?,Венгерская Мангалица,Дюрок,Сибирская Северная,Мейшан
9,"Как ученые называют династию фараонов Древнего Египта Второго переходного периода, не имеющую порядкового номера?",Абидосская,Танисская,Фиванская,Мемфисская
