,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что время от времени предлагал окружающим Остап Бендер?,От жилетки рукава,От кроссовок голенища,От митенок пальцы,От трусов штанины
1,На какой христианский праздник принято печь куличи?,Пасха,Троица,Масленица,Рождество
2,Какой язык относится к западно-славянской группе?,Польский,Французский,Немецкий,Болгарский
3,Какие компоненты отсутствуют в клетках прокариот?,Ядра,Жгутики,Рибосомы,Вакуоли
4,Где родился Владимир Высоцкий?,В Москве,В Хабаровске,В Баку,В Ленинграде
5,По какому маршруту летал советский сверхзвуковой пассажирский самолет ТУ-144?,Москва — Алма-Ата,Москва — Новосибирск,Москва — Владивосток,Москва — Ташкент
6,Какая страна является родиной гандбола?,Дания,Германия,Швеция,Англия
7,Кто из этих чемпионов мира по шахматам отдал корону без боя?,Роберт Фишер,Борис Спасский,Михаил Таль,Михаил Ботвинник
8,"Кто, согласно поговорке, грозы держит и хлебом наделяет?",Илья,Наум,Петр,Спиридон
9,Что такое фатальная семейная бессонница?,Болезнь,Книга Франца Кафки,Картина Ван Гога,Фильм Федерико Феллини
