,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,В какой из этих игр обходятся без клюшек?,бейсбол,хоккей,гольф,бенди
1,Что измеряют тонометром?,Давление,Колер,Аппетит,Интенсивность света
2,Какой город есть в Украине?,Галич,Визбор,Розенбаум,Петлюра
3,"В какой басне И. А. Крылова есть слова: «Когда в товарищах согласья нет, на лад их дело не пойдёт...»?","«Лебедь, Рак и Щука»",«Два мужика»,«Собачья дружба»,«Квартет»
4,Какая национальность занимает второе место по численности в России (по данным переписи 2010 г.)?,Татары,Башкиры,Чуваши,Украинцы
5,Какой князь стал действительным правителем при малолетнем сыне Рюрика после смерти последнего?,Олег,Владимир,Ярослав,Всеволод
6,"Кто автор этих строк: «Я всегда хотел знать, — горько проговорил Ипслор, — что в этом мире есть такого, из–за чего стоит жить?» Смерть обдумал его вопрос и наконец ответил: «Кошки. Кошки — это хорошо»?",Т. Пратчетт,Ф. Пулман,С. Бакстер,Н. Гейман
7,Как называется способ принятия лекарственных средств «под язык»?,Сублингвальный,Буккальный,Пероральный,Парентеральный
8,Куда в 80-е годы XX века планировалось перенести Московский зоопарк?,В Битцевский лес,В Крылатское,На Ленинские горы,На территорию Ботанического сада
9,Какой американский президент включён в Мировой зал славы гольфа?,Джордж Буш-старший,Кальвин Кулидж,Уильям Тафт,Дуайт Эйзенхауэр
