,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается фраза, прозвучавшая в фильме «Гараж», «У верблюда два горба…»?",Потому что жизнь — борьба!,Между ними — голытьба!,Такова его судьба!,Он стирает пот со лба!
1,"Где происходит действие романа Ремарка ""Чёрный обелиск""?",В Германии,В Австрии,Во Франции,В Италии
2,"За кем из этих бардов мы повторяем ставшие крылатыми слова: ""Ещё немного, ещё чуть-чуть...""?",Михаил Ножкин,Александр Городницкий,Олег Митяев,Булат Окуджава
3,Какая из перечисленных единиц измерения самая длинная?,Метр,Дюйм,Ярд,Фут
4,Какой город является самой южной столицей планеты?,Веллингтон,Буэнос-Айрес,Канберра,Монтевидео
5,"Какой поэт написал: ""...я б Америку закрыл, слегка почистил, а потом опять открыл - вторично""?", В. Маяковский, И. Бродский, А. Блок, И. Северянин
6,Какой музыкальный инструмент появился в результате усовершенствования охотничьего рога?,Валторна,Горн,Гобой,Тромбон
7,"К частному случаю какого разряда относится красивое явление, известное как «Огни святого Эльма»?",Коронный,Искровой,Дуговой,Тлеющий
8,В какой битве русские войска впервые разбили татарскую конницу?,Бортеневской,На Синих Водах,Куликовской,На реке Воже
9,Кто предложил первые правила мобильного этикета?,Американец Дэн Бриоди,Американец Мартин Купер,Японец Такеши Нацуно,Россиянин Леонид Куприянович
