,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какая кухонная утварь нужна, чтобы пассеровать лук?",сковорода,скалка,дуршлаг,чайник
1,"Какая из этих песен начинается словами: ""По переулкам бродит лето… ""?",«Королева красоты»,«Чёрный кот»,«Соловьиная роща»,«Звёздное лето»
2,Какой напиток изготавливают НЕ из сока агавы?,кальвадос,пульке,мескаль,текила
3,Каким по счету президентом США стал Барак Обама?,44,51,40,56
4,Как называется один из отделов желудка у жвачных животных?,книжка,брошюра,тетрадь,блокнот
5,Какая порода домашних кошек самая крупная?,мейн-кун,девон-рекс,бобтейл,шартрез
6,"Философ древности говорил: «Люди бывают трех видов: те, кто живы, те, кто мертвы, и те, кто ...»",Плавает по морю,На войне,Стары,Болеют
7,"Кем по национальности был Джон Хьюз, основатель Донецка?",Валлиец,Ирландец,Англичанин,Шотландец
8,Какую систему стихосложения представлял В. Маяковский ?,Тоническую,Третичную,Слоговую,Силлабо-тоническую
9,Что из перечисленного не является месяцем еврейского календаря?,Маах,Кислев,Таммуз,Тевет
