,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой канал соединяет Средиземное море с Красным морем?,Суэцкий канал,Каледонский канал,Беломорканал,Панамский канал
1,"Кому принадлежит эта строчка: ""Ты жива еще, моя старушка""?",С. Есенину,М. Горькому,А. Пушкину,Р. Раскольникову
2,Какая инди-поп группа получила своё название в честь дня рождения её фронтмена Дэна Смита 14 июля 1986 года?,Bastille,Vampire Weekend,Someone Still Loves You Boris Yeltsin,Zella Day
3,"К чему, судя по названию, были приставлены первые прапорщики российской армии?",К знамени,К кухне,К пушке,К барабану
4,"Где в человеческом организме находится ""привратник""?",Желудок,Сердце,Толстый кишечник,Печень
5,В каком году в Европе узнали от путешественника Марко Поло о существовании бумажных денег?,1286,1486,1086,1686
6,"Как заканчивается фраза Ф.Жолио-Кюри: ""Чем дальше эксперимент от теории, тем ближе он ...""?",К Нобелевской премии,К истине,К практике,К опыту
7,"Какая майка вручается велогонщику, набравшему наибольшее количество очков в спринтерском зачёте ""Тур де Франс""?",Зелёная,Белая в красный горох,Жёлтая,Белая
8,Под каким флагом после успешных операций возвращаются в порт подводные лодки Великобритании?,«Весёлый Роджер»,белый флаг,флаг поверженного противника,флаг Вильгельма Завоевателя
9,Причиной смерти какого из перечисленных исторических персонажей стал не смех?,Император Марк Опеллий Макрин,Король Мартин I Арагонский,Художник Зевксис из Гераклеи,Философ Хрисипп
