,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое устройство служит для настройки музыкальных инструментов?,камертон,медиатор,метроном,сурдина
1,"Как называется орден, учреждённый в 1430 году и существующий до сих пор?",Золотого руна,Немейского льва,Нити Ариадны,Головы Горгоны
2,Кто стал чемпионом России по футболу в 2010 году?,Зенит,Спартак,ЦСКА,Анжи
3,Какой фильм снят по произведению Сидни Шелдона?,Ничто не вечно,Алмазы и наёмники,Час убийцы,Разорванный занавес
4,Кто победил первого чемпиона мира по шахматам?,Э. Ласкер,Х. Р. Капабланка,А. Алехин,М. Эйве
5,Какого крупнейшего за всю историю успеха добилась футбольная сборная Турции на чемпионате мира 2002 года?,Бронзовый призер,Чемпион,Серебряный призер,4-е место
6,Какая страна владеет островом Кюрасао?,Нидерланды,Франция,Испания,Великобритания
7,Какой из этих типов метеоритов относится к железным?,Октаэдриты,Хондриты,Диогениты,Ахондриты
8,В каком из этих фильмов героиню Нонны Мордюковой звали не Наталья?,"""Простая история""","""Секретарь обкома""","""Они сражались за Родину""","""Павлуха"""
9,Кто из нижеперечисленных Героев Российской Федерации не является одновременно Героем Советского Союза?,Ю. И. Маленченко,С. К. Крикалёв,Н. С. Майданов,В. В. Поляков
