,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих заболеваний - заразное?,Корь,Шизофрения,Ревматизм,Радикулит
1,"Что в пословице делает курочка, чтобы быть сытой?",по зёрнышку клюёт,на петушка не глядит,на насесте сидит,по яичку несёт
2,Какой остров пинает сапог Италии?,Сицилию,Мальту,Сардинию,Корсику
3,Кто изображен на американской банкноте достоинством в сто долларов?,Франклин,Вашингтон,Грант,Линкольн
4,"Кого в Англии называют ""синими воротничками""?",Рабочих,Служащих,Военных,Полицейских
5,Какое культурное растение дала миру Австралия?,Никакое,Кокосовая пальма,Джут,Сахарный тростник
6,"В какой газете появилась заметка о том, что «О. Бендер попал под лошадь извозчика № 8974»?",«Станок»,«Вестник»,«Шмель»,«Гудок»
7,Какова самая низкая частота звучания скрипки?,196 Гц,204 Гц,212 Гц,188 Гц
8,"Какова ""ценность"" ферзя в признанной шахматной оценке силы фигуры?",9 пешек,7 пешек,12 пешек,5 пешек
9,"В творчестве какой группы не было композиции "" The Show Must Go On""?",The Beatles,Queen,Pink Floyd,Британская группа Nirvana
