,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой вид хоккея является самым популярным?,С шайбой,Подводный,На траве,С мячом
1,Что стало символом бывшего мэра Москвы Юрия Лужкова?,Кепка,Бейсболка,Бандана,Треуголка
2,"Как называются все падежи, кроме именительного?",Косвенные,Дополнительные,Вспомогательные,Побочные
3,"Какое обвинение в свой адрес не выносил Марти Макфлай, герой фильма «Назад в будущее»?",В трусости,В невежестве,В предательстве,В пьянстве
4,За заслуги в какой области науки получил Нобелевскую премию Василий Леонтьев?,Экономика,Физика,Химия,Медицина
5,Кто сконструировал первый термоскоп — устройство показывающее изменение температуры?,Галилей,Парацельс,Цельсий,Реомюр
6,Где работает вальцовщик?,На металлургическом  заводе,На лесоповале,На мясокомбинате,В типографии
7,"Какая из этих змей - принадлежит к семейству гадюк, а не аспидов?",Эфа,Ехидна,Кобра,Мамба
8,В какой басне  И.А. Крылов осуждает пьянство?,Два мужика,Крестьянин и  Работник,Лиса-строитель,Чиж и Голубь
9,"В каком году было т. н. Кровавое воскресенье в Лондондерри, Сев. Ирландия?",1972,1969,1974,1976
