,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется ожерелье из монет?,Монисто,Монолит,Монокль,Монумент
1,"Как зовут ведьму, мать кузнеца Вакулы, в произведении Н. В. Гоголя «Ночь перед Рождеством»?",Солоха,Марфа,Одарка,Любава
2,Колонией какой страны был Мозамбик до обретения независимости?,Португалии,Испании,Великобритании,Франции
3,Для чего дельфины выпрыгивают из воды?,Увеличить скорость,Изобразить радость,Создать ультразвук,Глотнуть кислорода
4,"Сколько различных растений тут перечислено: ткемали, тархун, эстрагон, алыча?",2,3,4,1
5,"В царствование какого из этих Российских царей был опубликован ""Манифест дарования вольности и свободы российскому дворянству""?",Петр III,Петр I,Петр II,Павел I
6,В каком фильме Ч.Чаплин в роли Гитлера танцует в паре с земным шаром?,"""Великий диктатор""","""Огни большого города"""," ""Цирк"""," ""Новые времена"""
7,В рассказе какого писателя есть персонаж Дуня Пешеморепереходященская?,А. П. Чехов,М. В. Лермонтов,А. С. Пушкин,А. И. Куприн
8,"События, описанные в каких повестях братьев Стругацких, разделяют десять земных лет?","""Страна багровых туч"" и ""Путь на Амальтею""","""Стажёры"" и ""Хищные вещи века""","""Хищные вещи века"" и ""Страна багровых туч""","""Путь на Амальтею"" и ""Стажёры"""
9,Какая теннисистка ради спортивной карьеры сделала в 2009 году операцию по уменьшению груди?,Симона Халеп,Ана Иванович,Саманта Стосур,Петра Квитова
