,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что, как признавался Шурик в фильме ""Кавказская пленница"", он очень любил собирать?",Фольклор,Сплетни,Утопии,Анекдоты
1,"С какой игрой связан самый результативный матч во все времена в данном виде спорта, когда сборная Японии уступила со счётом 17:145 команде Новой Зеландии?",Регби,Гандбол,Баскетбол,Хоккей
2,Какому сантехнику поставили памятник в Ярославле?,Афоне,Анатолию,Ивану,Борису
3,Какой бросок в баскетболе называется слэм-данк (slam-dunk)?,Сквозь кольцо сверху вниз,Штрафной,Бросок с сиреной,Трёхочковый
4,Какое из этих известных московских зданий было построено позже остальных трех?,Кремл. Дворец Съездов,"Гостиница ""Москва""",Цирк на Цв. бульваре,"Гостиница ""Украина"""
5,"В каком своём фильме Эльдар Рязанов снял гайдаевскую троицу: Труса, Балбеса и Бывалого?","""Дайте жалобную книгу""","""Человек ниоткуда""","""Зигзаг удачи""","""Старики-разбойники"""
6,На какой российской купюре можно увидеть панораму Соловецкого монастыря?,500 рублей,5000 рублей,10 рублей,50 рублей
7,Какой футбольный клуб чаще других становился победителем Кубка Либертадорес?,Индепендьенте (Аргентина),Пеньяроль (Уругвай),Сан-Паулу (Бразилия),Ривер Плейт (Аргентина)
8,Какая актриса взяла в качестве актерского псевдонима девичью фамилию своей матери?,Катрин Денёв,Кароль Буке,Клаудия Кардинале,Софи Лорен
9,Какой из перечисленных московских монастырей — женский?,Алексеевский,Донской,Сретенский,Андреевский
