,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчиваются строки детского стишка Маршака «Эй, не стойте слишком близко…»?","Я тигрёнок, а не киска",Я народная артистка,Я огромная сосиска,Я такая приколистка
1,Какой город является столицей Исландии?,Рейкьявик,Вадуц,Дублин,Тирана
2,Какой из этих грибов предпочитает расти на деревьях?,Опенок,Подорешник,Подосиновик,Подберезовик
3,"По-французски эта шахматная фигура называется «дурак», а как она называется по-русски?",Слон,Ладья,Ферзь,Король
4,Какой из этих цветов отсутствует на олимпийской эмблеме - пяти разноцветных переплетенных кольцах?,Белый,Зеленый,Голубой,Черный
5,Что не характерно для жидкой воды как химического вещества?,Аномально высокая электропроводность,Водородные связи,Аномально высокая температура кипения,Аномально высокая теплоемкость
6,	Какое из этих чисел в разных системах счисления является наименьшим?,62 (десятичная),102 (восьмеричная),40 (шестнадцатеричная),1000100 (двоичная)
7,Женская сборная какой страны еще не была олимпийским чемпионом по кёрлингу?,Китай,Великобритания,Швеция,Канада
8,Автором какой песни был Иван Петрович Ларионов?,«Калинка-малинка»,«Окрасился месяц багрянцем»,«Степь да степь»,"«Ах, вы сени, мои сени»"
9,Как звали основателя династии Великих Моголов?,Бабур,Акбар,Джахангир,Улугбек
