,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,В каком году началась Первая мировая война?,В 1914,В 1917,В 1941,В 1939
1,К какому типу ткани относится эпидермис кожи?,Эпителиальная,Нервная,Мышечная,Соединительная
2,Какой из этих танцев - итальянский?,Тарантелла,Чардаш,Танго,Канкан
3,Какой цвет в флагах стран Азии символизирует буддизм?,Оранжевый,Зеленый,Черный,Коричневый
4,Какой национальный парк находится не в Австралии?,Йеллоустоун,Канангра-Бойд,Валлеми,Какаду
5,В период правления какого римского императора произошёл великий пожар Рима?,Нерон,Тиберий,Калигула,Тит
6,Когда отмечают Международный день птиц?,01 апреля,15 апреля,15 марта,01 марта
7,Назовите фамилию автора памятника на могиле Н. С. Хрущева,Неизвестный,Кербель,Клыков,Сидур
8,"Какой поэт — автор этих строк: «Глупец, хотел уверить нас, Что бог гласит его устами»?",М. Лермонтов,Д. Давыдов,Г. Гейне,В. Шекспир
9,"Живописные места какой речки А. С. Пушкин описал в стихотворении ""Зимнее утро""?",Тьма,Сура,Унжа,Орша
