,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как с английского переводится термин «андерграунд»?,Под землей,Под облаками,Под водой,Под небесами
1,Как тетерев привлекает внимание тетерки в брачный период?,Токует,Квохчет,Кукует,Чирикает
2,Район с каким названием есть в Москве?,Орехово-Борисово,Орехово-Кокосово,Орехово-Изюмово,Орехово-Зуево
3,Сколько желудочков находится в головном мозге человека?,4,2,3,1
4,Какой из этих судов не является промысловым рыболовным?,Тендер,Сейнер,Дрифтер,Траулер
5,В каком году произошло Аустерлицкое сражение?,1805,1800,1810,1815
6,К какой из этих королевских династий в Англии принадлежал Генрих VIII?,Тюдоры,Йорки,Стюарты,Ланкастеры
7,Какой из перечисленных элементов относится к носковым прыжкам в фигурном катании?,Лутц,Аксель,Сальхов,Риттбергер
8,"На территории какой современной страны был убит (как говорят, съеден аборигенами) мореплаватель Джеймс Кук?",США,Новая Зеландия,Папуа-Новая Гвинея,Австралия
9,В каком из этих сражений древнеримская армия потерпела сокрушительное поражение?,При Адрианополе,При Магнезии,При Лютеции,При Заме
