,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая физическая единица служит для измерения радиоактивности?,Беккерель,Люмен,Калория,Сименс
1,Какой президент США изображен на 20-долларовой купюре?,Э. Джексон,Ф. Рузвельт,А. Линкольн,Д. Вашингтон
2,"Какой шахматной фигурой советовал ходить Хмырю Косой в кинофильме ""Джентльмены удачи""?",Конь,Слон,Ладья,Ферзь
3,"В какой пьесе Чехова есть персонаж по кличке ""22 несчастья""?",Вишнёвый сад,Чайка,Медведь,Юбилей
4,Чем и на что опирается знаменитый «Мыслитель» французского скульптора Огюста Родена?,Правой рукой на левое колено,Левой рукой на правое колено,Левой рукой на левое колено,Правой рукой на правое колено
5,Какой город на Енисее отмечает свое 400-летие в 2019-м году?,Енисейск,Дудинка,Саяногорск,Красноярск
6,Что по своей собственной инициативе провёл в Сахалине Чехов?,перепись населения,набор в театральную труппу,выставку ездовых собак,врачебный осмотр охотников
7,"Какая африканская страна является единственной, где этническое большинство исповедует христианство?",Эфиопия,Кения,Либерия,ЮАР
8,Кого в русских летописях называли касогами?,Адыгов,Ногайцев,Грузин,Осетин
9,Возбудитель какого из перечисленных заболеваний не является анаэробом?,Коклюш,Столбняк,Ботулизм,Газовая гангрена
