,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что, судя по названию, предназначено для денег?",портмоне,портфель,портсигар,портки
1,Какой бог часто изображён как круглолицый крылатый младенец с луком и стрелами?,Купидон,Зевс,Меркурий,Посейдон
2,Какого цветного животного в названиях мультипликационных сказок нет?,"""Лиловая каракатица""","""Розовая пантера""","""Голубой щенок""","""Чёрная курица"""
3,Во что было помещено тело адмирала Нельсона при перевозке в Лондон?,В бочку с бренди,В бочку с пивом,В бочку с квасом,В бочку со шнапсом
4,"Кто из этих классиков - автор романа ""Подросток""?",Ф. М. Достоевский,И. А. Бунин,И. С. Тургенев,Л. Н. Толстой
5,"Как назывался первый паровоз, созданный Дж. Стефенсоном?",«Блюхер»,«Нельсон»,«Врангель»,«Кромвель»
6,Какой из этих мифических персонажей не изображался в виде рептилии?,Слейпнир,Ермунганд,Курма,Уроборос
7,Какой из этих напитков получил название по числу его основных компонентов?,Пунш,Грог,Крюшон,Глинтвейн
8,В какой серии советского мультфильма про кота Леопольда все персонажи разговаривают голосом Геннадия Хазанова?,"""Леопольд и золотая рыбка""","""Месть кота Леопольда""","""День рождения Леопольда""","""Кот Леопольд во сне и наяву"""
9,"Какое событие в XX веке способствовало возрождению интереса к топливным элементам как источнику электроэнергии, известному с середины XIX века?",Реализация программы «Аполлон»,Атомные бомбардировки Хиросимы и Нагасаки,Олимпийские игры в Токио,Авария на Чернобыльской АЭС
