,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что пела царевна в мультфильме «Летучий корабль»: «А я не хочу, не хочу...»?",По расчету,На работу,По прилету,На охоту
1,Как называется столица Башкортостана?,Уфа,Чебоксары,Сыктывкар,Улан-Удэ
2,Кто совершил первый полет на самолете?,Братья Райт,Братья Буре,Братья Стругацкие,Братья Монгольфье
3,Что означало старинное русское слово «тать»?,Вор,Дух,Волк,Гость
4,"Как называется декоративная деталь в виде стилизов, листьев, цветов на пинаклях в готическом стиле?",Крабб,Орнамент,Вензель,Эниоль
5,Какой город претендовал на звание столицы Беларуси?,Могилев,Гомель,Гродно,Витебск
6,Каких слов не было в сценарии фильма «Ирония судьбы или с легким паром»?,«Какая гадость эта ваша заливная рыба»,"«Нашлись добрые люди. Подогрели, обобрали»",«Ну что вы меня все время роняете?»,"«Пить надо меньше, надо меньше пить»"
7,Сколько атомов водорода содержится в молекуле пропана?,8,12,10,6
8,"Немецкие танки назывались по мере возрастания мощности: “пантера”, “тигр”, “королевский тигр”. А как назывался самый мощный 188-тонный танк? ",Мышонок,Слоненок,Мамонтенок,Крысенок
9,Какого ископаемого животного не существовало?,бедилиус,грифея,касторокауда,бухия
