,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что означает количество пятнышек у божьей коровки?,Вид,Возраст,Пол,Дату рождения
1,"Как называется участок между двумя реками, через который в старину перетаскивали судно для продолжения пути?",Волок,Перевал,Перекат,Волость
2,На каком из этих полей не может находиться белая пешка?,C1,A6,D8,F4
3,"Какой буквой обозначается московский троллейбус, ходящий по Садовому кольцу?",Б,Г,В,А
4,Сколько ударов колокола в буддийском храме в Японии возвещают Новый год?,108,113,120,95
5,"Какие поезда, согласно классификации РЖД, проходят без переформирования одну или более сортировочных станций?",Сквозные,Участковые,Сборные,Передаточные
6,На гербе какого города Золотого кольца изображён медведь с секирой?,Ярославль,Муром,Владимир,Кострома
7,"Какое оружие во время войны получило прозвище ""Катюша""?",БМ-13,МЛ-20,М-30,И-153
8,"Кто из этих ""лиц"" является персонажем исключительно французского народного театра?",Полишинель,Пульчинелла,Панч,Панталоне
9,"Какой французский маршал сказал о Версальском договоре: «Это не мир, это перемирие лет на двадцать»?",Фердинанд Фош,Анри Петен,Жозеф Жоффр,Эмиль-Мари Файоль
