,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,За какое время прекращается кровотечение при ранении мелких сосудов у здорового человека?,1-3 минуты,25 минут,10 минут,15 минут
1,Какое из этих растений не используют для создания живой изгороди?,Рогоз,Акация,Жимолость,Шиповник
2,Что является наградой при вручении антипремии Pigasus Award за вклад в деятельность лженауки?,Крылатый поросенок,Гнутая ложка,Свистящий рак,Зеленая малина
3,Какого цвета глаза обычно у сиамского кота?,Голубые,Золотые,Коричневые,Зелёные
4,"Что такое ""японская бригантина""?",Пластинчатые доспехи,Вид корабля,Кондитерское изделие,Восточное единоборство
5,Какой из перечисленных методов синтеза не используется для получения синтетических алмазов?,Кристаллизация из расплава,Химическое осаждение из пара,Ультразвуковая обработка графита,Синтез при высоких температуре и давлении
6,Как называется должность адвоката высокого ранга в Великобритании?,Барристер,Атторней,Паралегал,Солиситор
7,Сколько геологических периодов выделяют в фанерозое?,12,8,6,10
8,В какой стране была зарегистрирована наиболее высокая инфляция?,Венгрия 1945-46 гг.,Югославия 1990-х гг.,Греция 1941-46 гг.,Германия 1921-23 гг.
9,Как переводится с латыни девиз на гербе рода Лермонтовых?,Жребий мой Иисус,Вся жизнь — Христу,Вовеки не отрекусь,Неси свой крест
