,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто из этих мифических героев стал символом бессмысленной работы?,Сизиф,Персей,Аид,Атлас
1,Какой балет обычно идёт в Большом театре под Новый Год?,«Щелкунчик»,«Лебединое озеро»,«Спящая красавица»,«Спартак»
2,Что Владимир Даль в своём словаре определил как «носопрятка»?,кашне,носовой платок,пуловер,воротник
3,Какое государство НЕ находится на территории пустыни Сахара?,Эфиопия,Тунис,Алжир,Ливия
4,Какой бард написал слова песни «Какое небо голубое»?,Булат Окуджава,Юлий Ким,Юрий Визбор,Сергей Никитин
5,Какой кот отличался огромными размерами?,кот Баюн,кот Гарфилд,Чеширский кот,кот Матроскин
6,Сколько пассажиров вмещает двухэтажный вагон фирменного поезда №5/6 Москва-Санкт-Петербург?,64,72,68,56
7,Кто из этих философов неожиданно для себя стал подданным Российской Империи?,Кант,Декарт,Гейгем,Шенин
8,Кто из этих Римских пап короновал Наполеона императорской короной?,Пий VII,Пий V,Пий IV,Пий VI
9,В какой церкви крестился Владимир Высоцкий?,Армянская апостольская,Русская истинно-православная,Русская кафолическая,Украинская автокефальная
