,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто из киногероев сетовал, что ему «скучно без водки»?",Косой («Джентльмены удачи»),Афоня («Афоня»),Балбес («Кавказская пленница»),Шариков («Собачье сердце»)
1,Кого микенский царь Еврисфей велел изловить Гераклу?,Лань,Лося,Антилопу,Оленя
2,Какого преступника ловил следователь Подберёзовиков?,Деточкина,Кирпича,Батона,Доцента
3,"Чем, по легенде, «отблагодарил» Иван Грозный зодчих Собора Василия Блаженного в Москве?",Ослепил,Дал мешок золота,Заключил в темницу,Сжёг на костре
4,"Из сказки какого автора группа ""Мумий Тролль"" взяла свое название?",Туве Янсон,Сельма Лагерлеф,Астрид Линдгрен,Памела Трэверс
5,Какое из этих государств существовало дольше?,Византийская империя,Персидская империя Ахеменидов,Империя Инков,Империя Мин
6,Из муки какого помола пекут пеклеванный хлеб?,Мелкого просеянной,Грубого непросеянной,Мелкого непросеянной,Грубого просеянной
7,Творчеству какой российской рок-группы принадлежит песня «Мой светлый ангел»?,«Рондо»,«Чайф»,«Сплин»,«Високосный год»
8,Кто придумал знаменитых чешских кукол-марионеток Спейбла и Гурвинека?,Йосеф Скупа,Ольдржих Черник,Мартин Класек,Милош Киршнер
9,Кто из писателей детективного жанра создал новое учение — криминальная армалогия?,Д. Корецкий,Н. Леонов,Л. Шейнин,С. Родионов
