,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из этих гимнастических снарядов не используется в соревнованиях мужчин?,Бревно,Кольца,Брусья,Конь
1,Кто из этих композиторов - автор Гимна Советского Союза?,А. Александров,А. Новиков,И. Дунаевский,В. Мурадели
2,Кто из этих богов изображался на древнеримских монетах?,Янус,Велес,Кришна,Мардук
3,Какую форму имеет здание театра Российской Армии в Москве?,Пятиконечной звезды,Прямоугольника,Квадрата,Треугольника
4,"Как звали фанатика-пуританина, руками которого Миледи убила герцога Бэкингема?",Фельтон,Гамильтон,Стэплтон,Айртон
5,"В 1988 году на Олимпиаде в Калгари соревнования по фигурному катанию назвали ""Битвой...""",Брайанов,Желаний,Британии,Разума
6,Как называется самая старая башня Московского Кремля?,Тайницкая,Спасская,Троицкая,Кутафья
7,"Кто был первым американцем, получившим Нобелевскую премию по литературе?",Синклер Льюис,Перл Бак,Эрнест Хемингуэй,Джон Стейнбек
8,Какой препарат не относится к снотворным средствам?,Азафен,Эстимал,Барбитал,Реладорм
9,Какая из древних столиц находилась на небольшом острове в центре озера?,Теночтитлан,Урук,Ниневия,Куско
