,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кого Остап Бендер называл ""отцом русской демократии""?",Кису Воробьянинова,Паниковского,Шуру Балаганову,Отца Федора
1,Как в народе называют растение ятрышник?,кукушкины слёзки,соловьиные рыдания,зябликово хихиканье,воробьиный смех
2,Какой персонаж мультфильма стал талисманом сборной России на Олимпиаде-2004?,Чебурашка,Кот Матроскин,Крокодил Гена,Старуха Шапокляк
3,Температура абсолютного нуля по Фаренгейту - это:,- 457.87 градусов,-273.15 градусов,-17.8 градусов,0 градусов
4,В каком городе расположен международный аэропорт Куантран?,Женева,Цюрих,Берн,Базель
5,Какой головной убор изображен на гербе Аргентины?,Колпак,Каска,Шляпа,Панама
6,Сколько звезд на флаге государства Мьянма?,1,9,4,16
7,Что изображено на флаге Калмыкии?,Лотос,Солнце,Пагода,Верблюд
8,Какой египетский фараон временно изменил религиозно-культовую систему древнего Египта (ввёл культ Атона)?,Аменхотеп IV,Аменхотеп II,Аменхотеп III,Аменхотеп I
9,Участки под каким названием встречаются в ДНК?,Палиндром,Метонимия,Анаграмма,Омоним
