,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Каким фразеологизмом можно назвать действие, которое совершал старик Хоттабыч, когда колдовал?",Рвал на себе волосы,Лез на стену,Вставал в позу,Бил себя пяткой в грудь
1,Каким службам вменены в обязанности операции по снегозадержанию?,Сельскоxозяйственным,Таможенным,Метеорологическим,Правооxранительным
2,Чем играют в мини-хоккей (ринк-бенди)?,Мячом,Воланом,Шайбой,Шаром
3,Какой праздник православные отмечают накануне Великого поста?,Масленица,Рождество Христово,Яблочный Спас,Троица
4,После казни Емельяна Пугачева все его родственники сменили фамилию. На какую?,Сычев,Грачев,Усачев,Борщов
5,Каким было настоящее имя поэта и писателя Константина Симонова?,Кирилл,Роман,Николай,Виктор
6,Из корней какого растения делают спонж конняку?,Аморфофаллус,Люффа,Китайская крапива,Агава
7,Как называется слог с общими взаимопроникающими признаками его элементов?,силлабема,терминаль,инвариант,аллолекс
8,Где находится туристический маршрут «Дорога романики»?,Саксония-Анхальт (Германия),Моравия (Чехия),Каталония (Испания),Пуату (Франция)
9,"Как нужно было обращаться к светлейшему князю Италийскому, графу Суворову-Рымникскому, после получения им чина генералиссимуса?",Ваша светлость,Ваше сиятельство,Ваше высокопревосходительство,Всемилостивейший государь
