,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,С какого дерева собирают фиги?,Инжир,Бадьян,Мирт,Пальма
1,С чем кардинал Ришелье сравнил имя Анны Австрийской в советском фильме «Д&#39;Артаньян и три мушкетера»?,С небесной манной,С ароматной ванной,С горной лавандой,С любовным обманом
2,Какой закон диалектики иллюстрирует сюжет русской сказки «Репка»?,Закон перехода количественных изменений в качественные,Закон единства и борьбы противоположностей,Закон сохранения,Закон отрицания отрицания
3,Горный массив с каким названием существует в Восточных Альпах?,Доломитовые Альпы,Кальцитовые Альпы,Арагонитовые Альпы,Малахитовые Альпы
4,"Каким должен быть угорь, традиционно подаваемый к рождественскому столу римлян?",Только самка,Двухцветным,Электрическим,Длиной более 50 см.
5,"Какие предметы, прикреплённые к седлу, служили внешним отличием опричников?",Собачья голова и метла,Заячья голова и кистень,Кошачья голова и стрела,Птичья голова и топор
6,"Кто написал слова к песне ""Идёт солдат по городу""?",Михаил Танич,Юрий Дружков,Виктор Цой,Александр Елин
7,На какой срок президент Бразилии может покидать страну без разрешения Национального конгресса?,На 15 дней,На месяц,На неделю,На 3 недели 
8,Кто в настоящее время возглавляет правительство Тибета в изгнании?,Лобсанг Сенге,Таши Вангди,Далай-лама XIV,Тензин Тетхонг
9,Что не используется в качестве хладагента?,метил-трет-бутиловый эфир,хлорметан,изобутан,аммиак
