,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кем была француженка Сара Бернар?,Актриса,Писатель,Певица,Модельер
1,Какой из перечисленных видов ткани относят к шёлковым?,Крепдешин,Люстрин,Батист,Фланель
2,Сколько звёздочек имел подпоручик Русской императорской армии на своём погоне?,2,3,1,4
3,От имени какого географического объекта произошло название «Индия»?,Реки,Горы,Города,Озера
4,Какой из городов является столицей Мадагаскара?,Антананариву,Махадзанга,Анциранана,Фианаранцуа
5,Кто был первым знатоком — обладателем «Хрустальной совы» в передаче «Что? Где? Когда?»?,Нурали Латыпов,Виктор Сиднев,Борис Левин,Андрей Каморин
6,Фильмы какого кинорежиссера больше всего встречаются в Списке 100 лучших американских кинофильмов по версии Американского института киноискусства?,Стивен Спилберг,Стенли Кубрик,Роберт Олтмен,Альфред Хичкок
7,Кто из этих ученых предложил структуру двойной спирали ДНК?,Дж. Уотсон и Ф. Крик,Л. Полинг и Р. Кори,М. Перутц,Дж. Кендрью
8,"Кто должен был стать соперником Александра Поветкина в финальном бою Олимпиады в Афинах, однако не вышел на ринг из-за травмы?",Мухаммед Али,Эвандер Холифилд,Иван Поддубный,Владимир Кличко
9,Кавалером какого ордена был писатель и натуралист Джеральд Даррелл?,Золотого Ковчега (Нидерланды),Дружбы народов (СССР),Академических пальм (Франция),Британской Индии (Великобритания)
