,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое звание является наивысшим в научной иерархии?,Академик,Магистр,Доцент,Профессор
1,В каком рассказе Антона Чехова герои играют в карты с наклеенными на них фотографиями губернских чиновников и их жён?,«Винт»,«Ненужная победа»,«Хорошие люди»,«Сирена»
2,"Какое дерево бывает чёрным, белым и пирамидальным?",Тополь,Липа,Клён,Дуб
3,Сколько полных октав содержит клавиатура фортепиано?,7,6,8,5
4,Из какой крупы готовят легендарную гурьевскую кашу?,Из манной,Из гречневой,Из пшенной,Из овсянной
5,В каком городе находится памятник пельменю?,Ижевск,Тобольск,Иркутск,Красноярск
6,В каком фильме был впервые показан автомат Калашникова?,«Максим Перепелица»,«Двадцать дней без войны»,«Небесный тихоход»,«Солдат Иван Бровкин»
7,Кто командовал римскими войсками в битве при Каннах?,Теренций Варрон,Квинт Серторий,Публий Сципион,Публий Ситтий
8,Какой римский папа организовал первый крестовый поход?,Урбан II,Григорий I,Пасхалий II,Сикст III
9,Какой из этих императоров Японии правил в эпоху Ямато?,Сэйнэй,Дзюнна,Кэйко,Сёму
