,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого времени глагола не существует в русском языке?,Пройденное,Будущее,Настоящее,Прошедшее
1,На какой реке стоит город Вена?,Дунай,Висла,Рейн,Рона
2,Как прозвали немецкий танк T-V?,Пантера,Тигр,Акула,Буйвол
3,По какому современному маршруту ходил бы в середине 80-х годов поезд Брежнев-Андропов?,Набережные Челны-Рыбинск,Рыбинск-Нижний Новгород,Набережные Челны-Ижевск,Ижевск-Шарыпово
4,Какой цвет не входит в палитру цветов переливающихся тонов верхних перьев обыкновенного павлина?,Красный,Рыжий,Зелёный,Синий
5,Что сделала Франция в связи с обретением Алжиром независимости?,Создала ядерный полигон на атолле Муруроа,Построила космодром Куру во Французской Гвиане,Признала государство Израиль,Вышла из военной организации НАТО
6,"Какую игру придумали студенты Кембриджского университета, используя поначалу коробки для сигар и пробки от шампанского?",Настольный теннис,Теннис,Сквош,Бадминтон
7,Какой единственный российский футболист выиграл и Лигу чемпионов и Кубок УЕФА?,Аленичев,Смертин,Харин,Семак
8,Во время правления какой российской императрицы не применялась смертная казнь?,Елизавета Петровна,Анна Иоанновна,Екатерина II,Екатерина I
9,"Какая аргентинская писательница является единственным лауреатом премии памяти Астрид Линдгрен, пишущим на испанском языке?",Исоль,Саманта Швеблин,Лусия Пуэнсо,Мария Тереза Андруэтто
