,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,За чем плыл дед Мазай в известном стихотворении Н. А. Некрасова?,За дровами,За рыбой,За советом,За пенсией
1,Какую часть дома воспел Юрий Антонов?,Крышу,Карниз,Подоконник,Балкон
2,Какой из этих напитков является традиционным испанским?,Сангрия,Мадера,Лимончелло,Кальвадос
3,На каком языке традиционно отдают команды животным в цирке?,Французский,Итальянский,Немецкий,Английский
4,Как называется однобортный короткий сюртук с закругленными полами?,Визитка,Кардиган,Толстовка,Смокинг
5,Кто снял фильм «Тутси» с Дастином Хофманом в главной роли?,Сидни Поллак,Джордж Лукас,Спивен Спилберг,Эдриан Лайн
6,Какое из приведенных чисел тождественно равно 1?,"0,(9)","1,1","1,(1)","0,9"
7,Какой язык имеет письменность не на основе латинского алфавита?,Хинди,Суахили,Зулу,Маори
8,"В каком порту был проведен знаменитый десант Ольшанского, все 55 участников которого были удостоены звания «Герой Советского Союза»?",Николаев,Ялта,Феодосия,Одесса
9,Какой чешский король еще в 15 веке выступил с идеей создания Всеевропейского христианского союза с общим судом и парламентом?,Йиржи из Подебрад,Ладислав Постум,Владислав II Ягеллон,Вацлав IV Люксембург
