,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто судит поединок боксёров на ринге?,рефери,арбитр,прокурор,присяжный заседатель
1,Укажите годы жизни поэта Иосифа Бродского.,1940–1996,1955–2000,1933–1978,1925–1989
2,"Какое французское слово употребляется для обозначения супружеской неверности, измены?",Адюльтер,Бламанже,Мезальянс,Куафюр
3,Какая рыба не ловится нахлыстом?,стерлядь,форель,судак,жерех
4,Фаворитом какой российской императрицы был Григорий Потемкин?,Екатерина II,Елизавета Петровна,Екатерина I,Анна Иоанновна
5,Какая военная операция связана с именем генерала Галифе?,Подавление Коммуны,Битва на Сомме,Взятие Конвента,Аустерлицкое сражение
6,Какая из этих морских птиц практически не способна взлететь с воды?,Фрегат,Поморник,Буревестник,Олуша
7,В соавторстве с каким художником Иван Айвазовский написал картину «Прощание Пушкина с морем»?,С Репиным,С Крамским,С Суриковым,С Перовым
8,В каком советском фильме спасённый военными моряками медвежонок становится случайным помощником в поимке шпиона?,«Егорка»,«Сашко»,«Максимка»,«Андрейка»
9,"Какой шведский поэт написал ""Устав викинга"" в своем произведении ""Сага о Фритьофе""?",Эсайас Тегнер,Харри Мартинсон,Эрик Гейер,Улоф Далин
