,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какую внешнюю политику называют дипломатией канонерок?,Нажима через демонстрацию силы,Скрытого подкупа,Выжидательную,Дружественную
1,Какое прозвище имеет Евлампия Романова в известном телесериале?,Лампа,Люстра,Софит,Прожектор
2,"В честь кого, согласно сюжету фильма «Космическая одиссея 2010 года», первоначально предполагалось назвать космический корабль «Алексей Леонов»?",Германа Титова,Георгия Гречко,Юрия Гагарина,Валентины Терешковой
3,На что в России делились вальсы?,на туры,на геймы,на сеты,на периоды
4,Какое из этих существ не является насекомым?,Клещ,Клоп,Москит,Вошь
5,"Как закончить поговорку: ""Повторение — мать учения, и ...?",...прибежище для лентяев. ,... отец науке.,... дитя ленивое.,... сестра терпению.
6,"В какой части ""Божественной комедии"" Данте поместил Адама?","""Рай""","""Ад""","""Чистилище""",Он не писал о нем
7,Чему соответствует принятое в 1958 году значение единицы длины морской сажени?,"1,83 м","1,81 м","1,85 м","1,79 м"
8,Какие советские поэты нередко подписывали свои совместные произведения «А. Х. В.»?,Хвостенко и Волохонский,Хармс и Введенский,Ахмадулина и Вознесенский,Асадов и Винокуров
9,"Как звали коня, на котором в 1972 году Елена Петушкова стала олимпийской чемпионкой в выездке?",Пепел,Хевсур,Абакан,Абсент
