,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что, согласно известному изречению, является двигателем торговли?",Реклама,Мерчандайзинг,Покупатель,Маркетинг
1,"За чем послала жена мужа в мультфильме ""Падал прошлогодний снег""?",За ёлкой,За пивом,За водой,За спичками
2,В каком городе расположен австрийский Музей кофе?,Вена,Линц,Зальцбург,Грац
3,В какой стране находится самый длинный мост в мире?,Китай,Россия,Франция,США
4,Какой сборник стихотворений есть у Анны Ахматовой?,«Вечер»,«День»,«Ночь»,«Утро»
5,"Маршалом каких войск был Иван Никитович Кожедуб, трижды Герой Советского Союза?",Авиации,Воздушно-десантных,Артиллерии,Танковых
6,"Как называется подкладка, пришиваемая на спину и грудь?",Подоплека,Клинья,Ластовица,Каре
7,"Какие слова пропущены в арабской пословице: «Лучше уж гнет ... , чем справедливость ...»?","Кошки, мышей","Мужа, в гареме","Мусульман, гяуров","Жизни, смерти"
8,Алфавит какого из этих языков содержит в себе всего 12 букв?,Ротокас,Кеде,Онге,Кора
9,Какой замок почти 800 лет является резиденцией вождей знаменитого клана МакЛаудов?,Данвеган,Лохливен,Стерлинг,Глэмис
