,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называют безнадежно отставшего спортсмена?,Аутсайдер,Ластик,Последыш,Антилидер
1,Какой породы был пёс Шарик из телесериала «Четыре танкиста и собака»?,Немецкая овчарка,Ротвейлер,Колли,Эрдельтерьер
2,Какой из вариантов написания слова является правильным?,Инцидент,Инциндент,Инцендент,Инцедент
3,Какой роман Владимира Набокова посвящен шахматам?,"""Защита Лужина""","""Дар""","""Камера Обскура""","""Король, дама, валет"""
4,В какой цвет окрашен Большой Екатерининский дворец в Пушкине?,Голубой,Желтый,Белый,Зеленый
5,Какое из перечисленных произведений не принадлежит перу Ф.М. Достоевского?,Скучная история,Честный вор,Ёлка и свадьба,Хозяйка
6,Какой город представляет финский хоккейный клуб «Ильвес»?,Тампере,Лаппенранта,Турку,Хельсинки
7,"""Заморская провинция"" какой страны до самого последнего времени существовала на территории Китая?",Португалия,Франция,Нидерланды,Испания
8,"Как называется кормовая мачта судна, имеющего не менее трех мачт?",Бизань-мачта,Бак-мачта,Грот-мачта,Фок-мачта
9,Картограф какой страны того времени назвал в 1507 г. Новый  Свет Америкой?,Лотарингия,Португалия,Фландрия,Генуэзская республика
