,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется карманный персональный компьютер с функциями сотового телефона?,Коммуникатор,Компилятор,Коммутатор,Комбинатор
1,"Что являлось вторым врагом М. Цветаевой, если первым, согласно её стихотворению «Если душа родилась крылатой...», она считала «голод голодных»?",«сытость сытых»,«трусость трусливых»,«слабость слабых»,«глупость глупых»
2,"С каким русским словом созвучен польский перевод слова ""город""?",Место,Край,Пункт,Точка
3,Какой из этих островов не входит в автономную область Испании - Канарские острова?,Майорка,Гран-Канария,Лансароте,Тенерифе
4,Как называется международный аэропорт Еревана?,Звартноц,Севан,Эребуни,Эчмиадзин
5,Какой империей правила династия Ангелов?,Византийской,Ассирийской,Цинь,Персидской
6,Каким способом был запущен первый российский наноспутник?,Вручную космонавтом с МКС,"С космодрома ""Байконур""",Наноспутник не запускался,"С космодрома ""Плесецк"""
7,К какой группе элементарных частиц относятся электроны?,Лептоны,Глюоны,Мезоны,Бозоны
8,"Какое имя и отчество у старой графини из повести Пушкина ""Пиковая дама""?",Анна Федотовна,Наталья Петровна,Татьяна Андреевна,Мария Алексеевна
9,К какому типу письма относятся арабское и еврейское (иврит) письмо?,Частично консонантное,Слоговое,Полностью консонантное,Полностью фонетическое
