,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой праздник мы отмечаем 13 января?,Канун старого нового года,День выхода на работу,Рождество,Пасха
1,Как называется инструмент для черчения окружностей и их дуг?,Циркуль,Рейсшина,Линейка,Транспортир
2,Как иначе можно назвать тетраэдр?,Пирамида,Призма,Параллелограмм,Параллелепипед
3,"Назовите фамилию генерала, смертельно раненного Каховским на Сенатской площади 14 декабря 1825 года.",Милорадович,Раевский,Разумовский,Платов
4,"Какая певица пела «До свиданья, Москва...» на закрытии Олимпиады-80 в дуэте с Львом Лещенко?",Татьяна Анциферова,Татьяна Овсиенко,Татьяна Буланова,Татьяна Шмыга
5,"Какое название получила компьютерная программа 1966 года, которая имитировала разговор с пользователем?",«Элиза»,«Джульетта»,«Скарлетт»,«Офелия»
6,"Какая актриса сыграла главную роль в фильме Пьетро Джерми ""Соблазненная и покинутая""?",Стефания Сандрелли,Софи Лорен,Даниэла Рокка,Моника Витти
7,Какие годы вошли в историю России под названием Смутное время?,1598-1613,1699-1712,1601-1613,1702-1713
8,"Какая картина Пьера Огюста Ренуара стала первой картиной художника, купленной для государственного собрания?",«Девушки за фортепьяно»,«Зонтики»,«Завтрак гребцов»,«Качели»
9,Какая из этих японских пород собак является бойцовой?,Тоса-ину,Сиба-ину,Рюкю,Хоккайдо
