,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого времени глагола не существует в русском языке?,Пройденное,Будущее,Настоящее,Прошедшее
1,Сколько крыльев у пчелы?,4,1,3,2
2,Как называется судоходство между портами одной страны?,Каботаж,Саботаж,Абордаж,Такелаж
3,Какого священнослужителя сыграл Донатас Банионис в фильме Эльдара Рязанова «Берегись автомобиля»?,Пастор,Раввин,Поп,Лама
4,"Кто такая королева Мод, в честь которой названа часть побережья Антарктиды — Земля Королевы Мод?",королева Норвегии,героиня сказки Андерсена,Коко Шанель,персонаж романа Жюля Верна
5,Что погубило шведского химика XVIII века Карла Шееле?,привычка пробовать вещества на вкус,зубные пломбы из мышьяка,укус змеи,"яд, подсыпанный учеником"
6,Где знакомятся герои поэмы Н. В. Гоголя «Мертвые души» Чичиков и Ноздрев?,На обеде у полицмейстера,На балу у губернатора,В имении Ноздрева,На ярмарке
7,Сколько квадратных саженей в одной казенной десятине?,2400,2200,2000,2300
8,Как называется боевой нож непальских гуркхов?,Кукри,Джамбия,Пешкабз,Катар
9,У какой группы есть альбом «...And Justice for All»?,Металлика,Ред Хот Чили Пепперс,Роллинг Стоунз,Битлз
