,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какие музыкальные инструменты в русских сказках называют «самогудами»?,Гусли,Гудки,Трубы,Органы
1,Какой полуостров расположен между Японским и Жёлтым морями?,Корейский,Ямал,Пиренейский,Апеннинский
2,Про хорошее отношение к кому В. Маяковский написал известное стихотворение?,Лошади,Женщины,Дети,Собаки
3,В каком университете в 1893 году П. И. Чайковский был возведен в степень почетного доктора?,Кембридж,Сорбонна,Санкт-Петербург,Берлин
4,Какой номинал имела счастливая монета героя диснеевских мультиков Скруджа Макдака?,10 центов,50 центов,25 центов,5 центов
5,Премьера какой программы состоялась 1 января 1968 года?,"""Время""","""Голубой огонёк""","""Очевидное-невероятное""","""Кинопанорама"""
6,Кто впервые употребил выражение «холодная война»?,Джордж Оруэлл,Гарри Трумэн,Уинстон Черчилль,Дуайт Эйзенхауэр
7,Как называется самый восточный мыс Камчатки?,Африка,Азия,Австралия,Европа
8,"Какой английский рыцарь, участник Войны Роз, во время тюремного заключения написал свод рыцарских романов «Смерть Артура»?",Томас Мэлори,Уильям Брэндон,Эндрю Троллоп,Роберт Брекенбери
9,"Как называется роман Александра Дюма, описывающий позорное бегство Наполеона из России?","""Капитан Ришар""","""Бог располагает""","""Анж Питу""","""Сорок пять"""
