,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Чего нет в конструкции самолёта?,Клюва,Оперения,Киля,Крыльев
1,Как называется столица государства Перу?,Лима,Доха,Сана,Кито
2,Чему примерно равен аршин?,70 см,65 см,60 см,75 см
3,Какая порода собак является миниатюрной копией грейхаунда?,Левретка,Чау-чау,Болонка,Такса
4,Где работает обвальщик?,Мясокомбинат,Пожарная часть,Стройка,Банк
5,В каком году была Фолклендская война?,1982,1971,1949,1960
6,Какая из этих опер Пуччини написана по книге Анри Мюрже?,"""Богема""","""Турандот""","""Тоска""","""Девушка с Запада"""
7,Какой породы был пес Чарли из романа Д. Стейнбека «Путешествие с Чарли в поисках Америки»?,Пудель,Доберман,Такса,Бульдог
8,Где тапиры не водятся?,Западная Африка,Центральная Америка,Южная Америка,Юго-Вост. Азия
9,Как называется хроническое отравление свинцом?,Сатурнизм,Плювиоз,Квашиоркор,Плюмбит
