,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое животное является неофициальным символом демократической партии США?,Осел,Кабан,Слон,Жираф
1,Что можно найти в голове человека?,Синус,Косинус,Тангенс,Котангенс
2,Какой музыкальный коллектив состоит из семи человек?,Септет,Секстет,Квартет,Квинтет
3,Чему равен угол равностороннего треугольника?,60 градусов,120 градусов,90 градусов,45 градусов
4,Где происходит действие оперы Ж. Бизе «Искатели жемчуга»?,На острове Цейлон,В Красном море,У берегов Японии,В Персидском заливе
5,"Какое продолжение имеет название картины И.Левитана ""Осенний день...""?",Сокольники,В парке,Останкино,В лесу
6,Какой династии российских купцов принадлежали армянские коньячные заводы до революции?,Шустовы,Смирновы,Благовы,Тиньковы
7,"Какой город, кроме Рима, служил резиденцией Папы Римского в XIV веке? ",Авиньон,Генуя,Ротенбург-на-Таубере,Барселона
8,"Немецкие танки назывались по мере возрастания мощности: «пантера», «тигр», «королевский тигр». А как назывался самый мощный 188-тонный танк?",«Мышь»,«Слон»,«Мамонт»,«Крыса»
9,"Кто из перечисленных древнегреческих поэтов не входил в канонический список Девяти лириков, составленный учёными эллинистической Александрии?",Филодем,Вакхилид,Симонид,Стесихор
