,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,С каким аксессуаром не расставался Гарри Поттер?,Очки,Часы,Перчатки,Пояс 
1,Разновидностью какой ягоды в быту называют аронию черноплодную?,рябины,малины,калины,брусники
2,На чём герои первого романа Жюля Верна путешествовали пять недель?,на воздушном шаре,на подводной лодке,на поезде,на плоту
3,Какое из этих животных не может высунуть язык?,Крокодил,Верблюд,Хамелеон,Корова
4,Что японки до начала ХХ века традиционно делали с зубами для красоты?,чернили,ставили золотые коронки,наращивали резцы,вырывали верхние клыки
5,Как называется порода пастушьих собак с густой и длинной шерстью?,пули,стрелы,копья,шрапнель
6,Каким государством с XIII века правит семейство Гримальди?,Монако,Андорра,Лихтенштейн,Люксембург
7,В какой современной стране находятся развалины Карфагена?,в Тунисе,в Италии,в Греции,в Турции
8,"Какой женщине Н. А. Некрасов посвятил стихотворение ""Три элегии""?",Авдотье Панаевой,Фёкле Викторовой,Анне Некрасовой,Селине Лефрен
9,Какое из этих древних изобретений было сделано раньше?,Краска,Керамика,Бумеранг,Каменный нож
