,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что расщепляется в организме под действием пищеварительного сока поджелудочной железы?,Все питательные вещества,Только жиры,Только белки,Только углеводы
1,Какой из этих плодов созревает близко к земле?,Ананас,Кокос,Финик,Банан
2,Какой врач занимается проблемами сердца?,кардиолог,эндокринолог,ревматолог,офтальмолог
3,Кто изображен на стодолларовой купюре?,Франклин,Линкольн,Кеннеди,Грант
4,Кто был отцом Ниобы?,Тантал,Танатос,Сизиф,Зевс
5,Где появились первые бумажные деньги?,Китай,Россия,Англия,Франция
6,Блюдом какой национальной кухни является пирог «Холера»?,Швейцарской,Болгарской,Мексиканской,Алжирской
7,"Кто стал первым в истории баскетбола человеком, который выиграл Кубок европейских чемпионов и как игрок, и как тренер?",Арменак Алачачян,Владимир Гомельский,Станислав Ерёмин,Степан Спандарян
8,В какой геологический период у некоторых организмов эволюционно возник сложно устроенный глаз?,Кембрий,Силур,Ордовик,Эдиакарий
9,Какое из перечисленных утверждений о насекомом кошениль верно?,В течение жизни самки не двигаются с места,Самки красного цвета,Краситель из них не используют в пищевой промышленности,Не характерен половой диморфизм
